case_type,people_total_tested_count,cases,difference,date,combined_key,country_region,province_state,admin2,iso2,iso3,fips,lat,long,population_count,people_hospitalized_cumulative_count,data_source,prep_flow_runtime
Deaths,,0,0,2020-05-05,"Wahkiakum, Washington, US",US,Washington,Wahkiakum,US,USA,53069,46.2918004,-123.4250831,4488,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,1,1,2020-05-05,"Bureau, Illinois, US",US,Illinois,Bureau,US,USA,17011,41.40385234,-89.5283051,32628,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,183,3,2020-05-05,"Davidson, North Carolina, US",US,North Carolina,Davidson,US,USA,37057,35.79115496,-80.21256572,167609,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,15,0,2020-05-05,"Grant, New Mexico, US",US,New Mexico,Grant,US,USA,35017,32.73911281,-108.3827845,26998,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,356,9,2020-05-05,"Trumbull, Ohio, US",US,Ohio,Trumbull,US,USA,39155,41.31735028,-80.76109643,197974,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,0,0,2020-05-05,"Bath, Virginia, US",US,Virginia,Bath,US,USA,51017,38.05852573,-79.73912095,4147,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,0,0,2020-05-05,"Clark, Idaho, US",US,Idaho,Clark,US,USA,16033,44.28496071,-112.3505704,845,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Haskell, Oklahoma, US",US,Oklahoma,Haskell,US,USA,40061,35.222576,-95.11513306,12627,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Washington, Illinois, US",US,Illinois,Washington,US,USA,17189,38.35309213,-89.40982703,13887,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,193,8,2020-05-05,"Jones, Mississippi, US",US,Mississippi,Jones,US,USA,28067,31.62257767,-89.168969,68098,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,147,7,2020-05-05,"Moore, North Carolina, US",US,North Carolina,Moore,US,USA,37125,35.30885257,-79.48474178,100880,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Dawes, Nebraska, US",US,Nebraska,Dawes,US,USA,31045,42.71985036,-103.1313774,8589,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Ketchikan Gateway, Alaska, US",US,Alaska,Ketchikan Gateway,US,USA,02130,55.57445008,-130.975561,13901,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,0,0,2020-05-05,"Dickenson, Virginia, US",US,Virginia,Dickenson,US,USA,51051,37.12560977,-82.35124171,14318,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,2,0,2020-05-05,"Union, Mississippi, US",US,Mississippi,Union,US,USA,28145,34.49162015,-89.00776006,28815,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Randolph, West Virginia, US",US,West Virginia,Randolph,US,USA,54083,38.769899,-79.87919615,28695,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"La Crosse, Wisconsin, US",US,Wisconsin,La Crosse,US,USA,55063,43.90632465,-91.11451093,118016,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,30,3,2020-05-05,"Rockingham, North Carolina, US",US,North Carolina,Rockingham,US,USA,37157,36.39593137,-79.77504841,91010,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,1,0,2020-05-05,"Wythe, Virginia, US",US,Virginia,Wythe,US,USA,51197,36.91582035,-81.07834059,28684,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,8,0,2020-05-05,"Twiggs, Georgia, US",US,Georgia,Twiggs,US,USA,13289,32.67435595,-83.43078662,8120,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Fayette, West Virginia, US",US,West Virginia,Fayette,US,USA,54019,38.02974928,-81.08286634,42406,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,935,25,2020-05-05,"Fairfield, Connecticut, US",US,Connecticut,Fairfield,US,USA,09001,41.26809896,-73.3881171,943332,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,0,0,2020-05-05,"Perkins, South Dakota, US",US,South Dakota,Perkins,US,USA,46105,45.49049506,-102.4755586,2865,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,195,1,2020-05-05,"Cecil, Maryland, US",US,Maryland,Cecil,US,USA,24015,39.56647682,-75.94627411,102855,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Angelina, Texas, US",US,Texas,Angelina,US,USA,48005,31.25457347,-94.60901487,86715,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,320,31,2020-05-05,"Cumberland, North Carolina, US",US,North Carolina,Cumberland,US,USA,37051,35.04762133,-78.82623165,335509,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,2,1,2020-05-05,"Madison, Missouri, US",US,Missouri,Madison,US,USA,29123,37.47865134,-90.3467143,12088,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,9,0,2020-05-05,"Pulaski, Virginia, US",US,Virginia,Pulaski,US,USA,51155,37.06474963,-80.71229738,34027,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,18,1,2020-05-05,"Jackson, Oklahoma, US",US,Oklahoma,Jackson,US,USA,40065,34.58781741,-99.41138784,24530,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Deuel, South Dakota, US",US,South Dakota,Deuel,US,USA,46039,44.75994309,-96.66943645,4351,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Warren, Pennsylvania, US",US,Pennsylvania,Warren,US,USA,42123,41.81304978,-79.26969577,39191,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"Russell, Alabama, US",US,Alabama,Russell,US,USA,01113,32.28725256,-85.18415324,57961,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,463,-1,2020-05-05,"Charleston, South Carolina, US",US,South Carolina,Charleston,US,USA,45019,32.82487866,-79.96512315,411406,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Confirmed,,2,0,2020-05-05,"Maries, Missouri, US",US,Missouri,Maries,US,USA,29125,38.16193985,-91.92249662,8697,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,3,0,2020-05-05,"Boyd, Kentucky, US",US,Kentucky,Boyd,US,USA,21019,38.36176608,-82.68652187,46718,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,1,0,2020-05-05,"Monroe, Alabama, US",US,Alabama,Monroe,US,USA,01099,31.56729412,-87.36995001,20733,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
Deaths,,0,0,2020-05-05,"McLeod, Minnesota, US",US,Minnesota,McLeod,US,USA,27085,44.82367677,-94.27287017,35893,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-05-05T23:29:19
